Time,Date,Room,Room_Capacity,Module,Registered_Students
9:00 - 10:00,2015-11-02 00:00:00,CSB0.02,90,COMP30190,29
10:00 - 11:00,2015-11-02 00:00:00,CSB0.02,90,COMP40660,53
11:00 - 12:00,2015-11-02 00:00:00,CSB0.02,90,,
12:00 - 13:00,2015-11-02 00:00:00,CSB0.02,90,COMP30250,22
13:00 - 14:00,2015-11-02 00:00:00,CSB0.02,90,COMP41690,60
14:00 - 15:00,2015-11-02 00:00:00,CSB0.02,90,COMP30260,18
15:00 - 16:00,2015-11-02 00:00:00,CSB0.02,90,,
16:00 - 17:00,2015-11-02 00:00:00,CSB0.02,90,COMP40660,53
17:00 - 18:00,2015-11-02 00:00:00,CSB0.02,90,COMP40660,53
9:00 - 10:00,2015-11-03 00:00:00,CSB0.02,90,,
10:00 - 11:00,2015-11-03 00:00:00,CSB0.02,90,COMP30110,45.0
11:00 - 12:00,2015-11-03 00:00:00,CSB0.02,90,COMP30260,18.0
12:00 - 13:00,2015-11-03 00:00:00,CSB0.02,90,COMP40370,27.0
13:00 - 14:00,2015-11-03 00:00:00,CSB0.02,90,,
14:00 - 15:00,2015-11-03 00:00:00,CSB0.02,90,COMP30240,42.0
15:00 - 16:00,2015-11-03 00:00:00,CSB0.02,90,COMP30240,42.0
16:00 - 17:00,2015-11-03 00:00:00,CSB0.02,90,COMP40370,27.0
17:00 - 18:00,2015-11-03 00:00:00,CSB0.02,90,COMP40370,27.0
9:00 - 10:00,2015-11-04 00:00:00,CSB0.02,90,COMP30190,29.0
10:00 - 11:00,2015-11-04 00:00:00,CSB0.02,90,COMP40660,53.0
11:00 - 12:00,2015-11-04 00:00:00,CSB0.02,90,COMP30250,22.0
12:00 - 13:00,2015-11-04 00:00:00,CSB0.02,90,COMP41690 (Practical),60.0
13:00 - 14:00,2015-11-04 00:00:00,CSB0.02,90,COMP41690 (Lecture),60.0
14:00 - 15:00,2015-11-04 00:00:00,CSB0.02,90,COMP30220,38.0
15:00 - 16:00,2015-11-04 00:00:00,CSB0.02,90,COMP30520 & COMP41110,79.0
16:00 - 17:00,2015-11-04 00:00:00,CSB0.02,90,COMP30250,22.0
17:00 - 18:00,2015-11-04 00:00:00,CSB0.02,90,COMP30250,22.0
9:00 - 10:00,2015-11-05 00:00:00,CSB0.02,90,,
10:00 - 11:00,2015-11-05 00:00:00,CSB0.02,90,COMP30110,45.0
11:00 - 12:00,2015-11-05 00:00:00,CSB0.02,90,COMP40370,27.0
12:00 - 13:00,2015-11-05 00:00:00,CSB0.02,90,COMP30260,18.0
13:00 - 14:00,2015-11-05 00:00:00,CSB0.02,90,COMP47290,0.0
14:00 - 15:00,2015-11-05 00:00:00,CSB0.02,90,COMP30240,42.0
15:00 - 16:00,2015-11-05 00:00:00,CSB0.02,90,COMP30520,60.0
16:00 - 17:00,2015-11-05 00:00:00,CSB0.02,90,COMP30520,60.0
17:00 - 18:00,2015-11-05 00:00:00,CSB0.02,90,,
9:00 - 10:00,2015-11-06 00:00:00,CSB0.02,90,COMP30220,38.0
10:00 - 11:00,2015-11-06 00:00:00,CSB0.02,90,,
11:00 - 12:00,2015-11-06 00:00:00,CSB0.02,90,COMP30190,29.0
12:00 - 13:00,2015-11-06 00:00:00,CSB0.02,90,COMP30190,29.0
13:00 - 14:00,2015-11-06 00:00:00,CSB0.02,90,COMP30170,51.0
14:00 - 15:00,2015-11-06 00:00:00,CSB0.02,90,COMP30240,42.0
15:00 - 16:00,2015-11-06 00:00:00,CSB0.02,90,,
16:00 - 17:00,2015-11-06 00:00:00,CSB0.02,90,,
17:00 - 18:00,2015-11-06 00:00:00,CSB0.02,90,,
9:00 - 10:00,2015-11-09 00:00:00,CSB0.02,90,COMP30190,29
10:00 - 11:00,2015-11-09 00:00:00,CSB0.02,90,COMP40660,53
11:00 - 12:00,2015-11-09 00:00:00,CSB0.02,90,,
12:00 - 13:00,2015-11-09 00:00:00,CSB0.02,90,COMP30250,22
13:00 - 14:00,2015-11-09 00:00:00,CSB0.02,90,COMP41690,60
14:00 - 15:00,2015-11-09 00:00:00,CSB0.02,90,COMP30260,18
15:00 - 16:00,2015-11-09 00:00:00,CSB0.02,90,,
16:00 - 17:00,2015-11-09 00:00:00,CSB0.02,90,COMP40660,53
17:00 - 18:00,2015-11-09 00:00:00,CSB0.02,90,COMP40660,53
9:00 - 10:00,2015-11-10 00:00:00,CSB0.02,90,,
10:00 - 11:00,2015-11-10 00:00:00,CSB0.02,90,COMP30110,45.0
11:00 - 12:00,2015-11-10 00:00:00,CSB0.02,90,COMP30260,18.0
12:00 - 13:00,2015-11-10 00:00:00,CSB0.02,90,COMP40370,27.0
13:00 - 14:00,2015-11-10 00:00:00,CSB0.02,90,,
14:00 - 15:00,2015-11-10 00:00:00,CSB0.02,90,COMP30240,42.0
15:00 - 16:00,2015-11-10 00:00:00,CSB0.02,90,COMP30240,42.0
16:00 - 17:00,2015-11-10 00:00:00,CSB0.02,90,COMP40370,27.0
17:00 - 18:00,2015-11-10 00:00:00,CSB0.02,90,COMP40370,27.0
9:00 - 10:00,2015-11-11 00:00:00,CSB0.02,90,COMP30190,29.0
10:00 - 11:00,2015-11-11 00:00:00,CSB0.02,90,COMP40660,53.0
11:00 - 12:00,2015-11-11 00:00:00,CSB0.02,90,COMP30250,22.0
12:00 - 13:00,2015-11-11 00:00:00,CSB0.02,90,COMP41690 (Practical),60.0
13:00 - 14:00,2015-11-11 00:00:00,CSB0.02,90,COMP41690 (Lecture),60.0
14:00 - 15:00,2015-11-11 00:00:00,CSB0.02,90,COMP30220,38.0
15:00 - 16:00,2015-11-11 00:00:00,CSB0.02,90,COMP30520 & COMP41110,79.0
16:00 - 17:00,2015-11-11 00:00:00,CSB0.02,90,COMP30250,22.0
17:00 - 18:00,2015-11-11 00:00:00,CSB0.02,90,COMP30250,22.0
9:00 - 10:00,2015-11-12 00:00:00,CSB0.02,90,,
10:00 - 11:00,2015-11-12 00:00:00,CSB0.02,90,COMP30110,45.0
11:00 - 12:00,2015-11-12 00:00:00,CSB0.02,90,COMP40370,27.0
12:00 - 13:00,2015-11-12 00:00:00,CSB0.02,90,COMP30260,18.0
13:00 - 14:00,2015-11-12 00:00:00,CSB0.02,90,COMP47290,0.0
14:00 - 15:00,2015-11-12 00:00:00,CSB0.02,90,COMP30240,42.0
15:00 - 16:00,2015-11-12 00:00:00,CSB0.02,90,COMP30520,60.0
16:00 - 17:00,2015-11-12 00:00:00,CSB0.02,90,COMP30520,60.0
17:00 - 18:00,2015-11-12 00:00:00,CSB0.02,90,,
9:00 - 10:00,2015-11-13 00:00:00,CSB0.02,90,COMP30220,38.0
10:00 - 11:00,2015-11-13 00:00:00,CSB0.02,90,,
11:00 - 12:00,2015-11-13 00:00:00,CSB0.02,90,COMP30190,29.0
12:00 - 13:00,2015-11-13 00:00:00,CSB0.02,90,COMP30190,29.0
13:00 - 14:00,2015-11-13 00:00:00,CSB0.02,90,COMP30170,51.0
14:00 - 15:00,2015-11-13 00:00:00,CSB0.02,90,COMP30240,42.0
15:00 - 16:00,2015-11-13 00:00:00,CSB0.02,90,,
16:00 - 17:00,2015-11-13 00:00:00,CSB0.02,90,,
17:00 - 18:00,2015-11-13 00:00:00,CSB0.02,90,,
