Room,Module,Date,Time
CSB0.04,COMP30010,2015-11-02 00:00:00,9:00 - 10:00
CSB0.04,IS40640,2015-11-02 00:00:00,10:00 - 11:00
CSB0.04,IS40640,2015-11-02 00:00:00,11:00 - 12:00
CSB0.04,COMP20020,2015-11-02 00:00:00,12:00 - 13:00
CSB0.04,Booked by School of CS (no other data available),2015-11-02 00:00:00,13:00 - 14:00
CSB0.04,SCI30060,2015-11-02 00:00:00,14:00 - 15:00
CSB0.04,COMP41110,2015-11-02 00:00:00,15:00 - 16:00
CSB0.04,Vacant,2015-11-02 00:00:00,16:00 - 17:00
CSB0.04,Vacant,2015-11-02 00:00:00,17:00 - 18:00
CSB0.04,COMP41450 & COMP30120,2015-11-03 00:00:00,9:00 - 10:00
CSB0.04,COMP10130,2015-11-03 00:00:00,10:00 - 11:00
CSB0.04,COMP20070,2015-11-03 00:00:00,11:00 - 12:00
CSB0.04,COMP30080,2015-11-03 00:00:00,12:00 - 13:00
CSB0.04,COMP20110,2015-11-03 00:00:00,13:00 - 14:00
CSB0.04,STAT40150,2015-11-03 00:00:00,14:00 - 15:00
CSB0.04,COMP20010,2015-11-03 00:00:00,15:00 - 16:00
CSB0.04,Vacant,2015-11-03 00:00:00,16:00 - 17:00
CSB0.04,Vacant,2015-11-03 00:00:00,17:00 - 18:00
CSB0.04,COMP30010,2015-11-04 00:00:00,9:00 - 10:00
CSB0.04,Vacant,2015-11-04 00:00:00,10:00 - 11:00
CSB0.04,COMP20020,2015-11-04 00:00:00,11:00 - 12:00
CSB0.04,COMP20130,2015-11-04 00:00:00,12:00 - 13:00
CSB0.04,Vacant,2015-11-04 00:00:00,13:00 - 14:00
CSB0.04,Vacant,2015-11-04 00:00:00,14:00 - 15:00
CSB0.04,COMP30070,2015-11-04 00:00:00,15:00 - 16:00
CSB0.04,Vacant,2015-11-04 00:00:00,16:00 - 17:00
CSB0.04,Vacant,2015-11-04 00:00:00,17:00 - 18:00
CSB0.04,COMP41450 & COMP30120,2015-11-05 00:00:00,9:00 - 10:00
CSB0.04,MATH10130,2015-11-05 00:00:00,10:00 - 11:00
CSB0.04,COMP30080,2015-11-05 00:00:00,11:00 - 12:00
