Time,Date,Room,Room_Capacity,Module,Registered_Students
9,2015-11-02,CSB0.02,90,COMP30190,29
10,2015-11-02,CSB0.02,90,COMP40660,53
11,2015-11-02,CSB0.02,90,Vacant,Vacant
12,2015-11-02,CSB0.02,90,COMP30250,22
13,2015-11-02,CSB0.02,90,COMP41690,60
14,2015-11-02,CSB0.02,90,COMP30260,18
15,2015-11-02,CSB0.02,90,Vacant,Vacant
16,2015-11-02,CSB0.02,90,COMP40660,53
17,2015-11-02,CSB0.02,90,COMP40660,53
9,2015-11-03,CSB0.02,90,Vacant,Vacant
10,2015-11-03,CSB0.02,90,COMP30110,45.0
11,2015-11-03,CSB0.02,90,COMP30260,18.0
12,2015-11-03,CSB0.02,90,COMP40370,27.0
13,2015-11-03,CSB0.02,90,Vacant,Vacant
14,2015-11-03,CSB0.02,90,COMP30240,42.0
15,2015-11-03,CSB0.02,90,COMP30240,42.0
16,2015-11-03,CSB0.02,90,COMP40370,27.0
17,2015-11-03,CSB0.02,90,COMP40370,27.0
9,2015-11-04,CSB0.02,90,COMP30190,29.0
10,2015-11-04,CSB0.02,90,COMP40660,53.0
11,2015-11-04,CSB0.02,90,COMP30250,22.0
12,2015-11-04,CSB0.02,90,COMP41690 (Practical),60.0
13,2015-11-04,CSB0.02,90,COMP41690 (Lecture),60.0
14,2015-11-04,CSB0.02,90,COMP30220,38.0
15,2015-11-04,CSB0.02,90,COMP30520 & COMP41110,79.0
16,2015-11-04,CSB0.02,90,COMP30250,22.0
17,2015-11-04,CSB0.02,90,COMP30250,22.0
9,2015-11-05,CSB0.02,90,Vacant,Vacant
10,2015-11-05,CSB0.02,90,COMP30110,45.0
11,2015-11-05,CSB0.02,90,COMP40370,27.0
12,2015-11-05,CSB0.02,90,COMP30260,18.0
13,2015-11-05,CSB0.02,90,COMP47290,0.0
14,2015-11-05,CSB0.02,90,COMP30240,42.0
15,2015-11-05,CSB0.02,90,COMP30520,60.0
16,2015-11-05,CSB0.02,90,COMP30520,60.0
17,2015-11-05,CSB0.02,90,Vacant,Vacant
9,2015-11-06,CSB0.02,90,COMP30220,38.0
10,2015-11-06,CSB0.02,90,Vacant,Vacant
11,2015-11-06,CSB0.02,90,COMP30190,29.0
12,2015-11-06,CSB0.02,90,COMP30190,29.0
13,2015-11-06,CSB0.02,90,COMP30170,51.0
14,2015-11-06,CSB0.02,90,COMP30240,42.0
15,2015-11-06,CSB0.02,90,Vacant,Vacant
16,2015-11-06,CSB0.02,90,Vacant,Vacant
17,2015-11-06,CSB0.02,90,Vacant,Vacant
9,2015-11-09,CSB0.02,90,COMP30190,29
10,2015-11-09,CSB0.02,90,COMP40660,53
11,2015-11-09,CSB0.02,90,Vacant,Vacant
12,2015-11-09,CSB0.02,90,COMP30250,22
13,2015-11-09,CSB0.02,90,COMP41690,60
14,2015-11-09,CSB0.02,90,COMP30260,18
15,2015-11-09,CSB0.02,90,Vacant,Vacant
16,2015-11-09,CSB0.02,90,COMP40660,53
17,2015-11-09,CSB0.02,90,COMP40660,53
9,2015-11-10,CSB0.02,90,Vacant,Vacant
10,2015-11-10,CSB0.02,90,COMP30110,45.0
11,2015-11-10,CSB0.02,90,COMP30260,18.0
12,2015-11-10,CSB0.02,90,COMP40370,27.0
13,2015-11-10,CSB0.02,90,Vacant,Vacant
14,2015-11-10,CSB0.02,90,COMP30240,42.0
15,2015-11-10,CSB0.02,90,COMP30240,42.0
16,2015-11-10,CSB0.02,90,COMP40370,27.0
17,2015-11-10,CSB0.02,90,COMP40370,27.0
9,2015-11-11,CSB0.02,90,COMP30190,29.0
10,2015-11-11,CSB0.02,90,COMP40660,53.0
11,2015-11-11,CSB0.02,90,COMP30250,22.0
12,2015-11-11,CSB0.02,90,COMP41690 (Practical),60.0
13,2015-11-11,CSB0.02,90,COMP41690 (Lecture),60.0
14,2015-11-11,CSB0.02,90,COMP30220,38.0
15,2015-11-11,CSB0.02,90,COMP30520 & COMP41110,79.0
16,2015-11-11,CSB0.02,90,COMP30250,22.0
17,2015-11-11,CSB0.02,90,COMP30250,22.0
9,2015-11-12,CSB0.02,90,Vacant,Vacant
10,2015-11-12,CSB0.02,90,COMP30110,45.0
11,2015-11-12,CSB0.02,90,COMP40370,27.0
12,2015-11-12,CSB0.02,90,COMP30260,18.0
13,2015-11-12,CSB0.02,90,COMP47290,0.0
14,2015-11-12,CSB0.02,90,COMP30240,42.0
15,2015-11-12,CSB0.02,90,COMP30520,60.0
16,2015-11-12,CSB0.02,90,COMP30520,60.0
17,2015-11-12,CSB0.02,90,Vacant,Vacant
9,2015-11-13,CSB0.02,90,COMP30220,38.0
10,2015-11-13,CSB0.02,90,Vacant,Vacant
11,2015-11-13,CSB0.02,90,COMP30190,29.0
12,2015-11-13,CSB0.02,90,COMP30190,29.0
13,2015-11-13,CSB0.02,90,COMP30170,51.0
14,2015-11-13,CSB0.02,90,COMP30240,42.0
15,2015-11-13,CSB0.02,90,Vacant,Vacant
16,2015-11-13,CSB0.02,90,Vacant,Vacant
17,2015-11-13,CSB0.02,90,Vacant,Vacant
9,2015-11-02,CSB0.03,90,COMP20020,53
10,2015-11-02,CSB0.03,90,COMP20020,53
11,2015-11-02,CSB0.03,90,COMP30010,45
12,2015-11-02,CSB0.03,90,COMP30010,45
13,2015-11-02,CSB0.03,90,Vacant,Vacant
14,2015-11-02,CSB0.03,90,COMP30010,33
15,2015-11-02,CSB0.03,90,COMP30010,33
16,2015-11-02,CSB0.03,90,COMP30060,35
17,2015-11-02,CSB0.03,90,COMP30060,35
9,2015-11-03,CSB0.03,90,Vacant,Vacant
10,2015-11-03,CSB0.03,90,Vacant,Vacant
11,2015-11-03,CSB0.03,90,COMP10280,56.0
12,2015-11-03,CSB0.03,90,Vacant,Vacant
13,2015-11-03,CSB0.03,90,Career opportunities talks,
14,2015-11-03,CSB0.03,90,Vacant,Vacant
15,2015-11-03,CSB0.03,90,Vacant,Vacant
16,2015-11-03,CSB0.03,90,Vacant,Vacant
17,2015-11-03,CSB0.03,90,Vacant,Vacant
9,2015-11-04,CSB0.03,90,COMP47300 (Lecture),0.0
10,2015-11-04,CSB0.03,90,COMP47300 (Practical),0.0
11,2015-11-04,CSB0.03,90,COMP47300 (Practical),0.0
12,2015-11-04,CSB0.03,90,COMP30080,73.0
13,2015-11-04,CSB0.03,90,COMP30080,73.0
14,2015-11-04,CSB0.03,90,COMP47300,0.0
15,2015-11-04,CSB0.03,90,COMP47300,0.0
16,2015-11-04,CSB0.03,90,Vacant,Vacant
17,2015-11-04,CSB0.03,90,Vacant,Vacant
9,2015-11-05,CSB0.03,90,COMP30060,42.0
10,2015-11-05,CSB0.03,90,Vacant,Vacant
11,2015-11-05,CSB0.03,90,Vacant,Vacant
12,2015-11-05,CSB0.03,90,COMP10280,56.0
13,2015-11-05,CSB0.03,90,Career opportunities talks,
14,2015-11-05,CSB0.03,90,COMP47300,0.0
15,2015-11-05,CSB0.03,90,COMP47290,0.0
16,2015-11-05,CSB0.03,90,COMP47290,0.0
17,2015-11-05,CSB0.03,90,COMP47290,0.0
9,2015-11-06,CSB0.03,90,COMP20020,45.0
10,2015-11-06,CSB0.03,90,COMP20020,45.0
11,2015-11-06,CSB0.03,90,COMP47290,0.0
12,2015-11-06,CSB0.03,90,COMP47290,0.0
13,2015-11-06,CSB0.03,90,Vacant,Vacant
14,2015-11-06,CSB0.03,90,COMP30080,65.0
15,2015-11-06,CSB0.03,90,COMP30080,65.0
16,2015-11-06,CSB0.03,90,Vacant,Vacant
17,2015-11-06,CSB0.03,90,Vacant,Vacant
9,2015-11-09,CSB0.03,90,COMP20020,53
10,2015-11-09,CSB0.03,90,COMP20020,53
11,2015-11-09,CSB0.03,90,COMP30010,45
12,2015-11-09,CSB0.03,90,COMP30010,45
13,2015-11-09,CSB0.03,90,Vacant,Vacant
14,2015-11-09,CSB0.03,90,COMP30010,33
15,2015-11-09,CSB0.03,90,COMP30010,33
16,2015-11-09,CSB0.03,90,COMP30060,35
17,2015-11-09,CSB0.03,90,COMP30060,35
9,2015-11-10,CSB0.03,90,Vacant,Vacant
10,2015-11-10,CSB0.03,90,Vacant,Vacant
11,2015-11-10,CSB0.03,90,COMP10280,56.0
12,2015-11-10,CSB0.03,90,Vacant,Vacant
13,2015-11-10,CSB0.03,90,Career opportunities talks,
14,2015-11-10,CSB0.03,90,Vacant,Vacant
15,2015-11-10,CSB0.03,90,Vacant,Vacant
16,2015-11-10,CSB0.03,90,Vacant,Vacant
17,2015-11-10,CSB0.03,90,Vacant,Vacant
9,2015-11-11,CSB0.03,90,COMP47300 (Lecture),0.0
10,2015-11-11,CSB0.03,90,COMP47300 (Practical),0.0
11,2015-11-11,CSB0.03,90,COMP47300 (Practical),0.0
12,2015-11-11,CSB0.03,90,COMP30080,73.0
13,2015-11-11,CSB0.03,90,COMP30080,73.0
14,2015-11-11,CSB0.03,90,COMP47300,0.0
15,2015-11-11,CSB0.03,90,COMP47300,0.0
16,2015-11-11,CSB0.03,90,Vacant,Vacant
17,2015-11-11,CSB0.03,90,Vacant,Vacant
9,2015-11-12,CSB0.03,90,COMP30060,42.0
10,2015-11-12,CSB0.03,90,Vacant,Vacant
11,2015-11-12,CSB0.03,90,Vacant,Vacant
12,2015-11-12,CSB0.03,90,COMP10280,56.0
13,2015-11-12,CSB0.03,90,Career opportunities talks,
14,2015-11-12,CSB0.03,90,COMP47300,0.0
15,2015-11-12,CSB0.03,90,COMP47290,0.0
16,2015-11-12,CSB0.03,90,COMP47290,0.0
17,2015-11-12,CSB0.03,90,COMP47290,0.0
9,2015-11-13,CSB0.03,90,COMP20020,45.0
10,2015-11-13,CSB0.03,90,COMP20020,45.0
11,2015-11-13,CSB0.03,90,COMP47290,0.0
12,2015-11-13,CSB0.03,90,COMP47290,0.0
13,2015-11-13,CSB0.03,90,Vacant,Vacant
14,2015-11-13,CSB0.03,90,COMP30080,65.0
15,2015-11-13,CSB0.03,90,COMP30080,65.0
16,2015-11-13,CSB0.03,90,Vacant,Vacant
17,2015-11-13,CSB0.03,90,Vacant,Vacant
9,2015-11-02,CSB0.04,220,COMP30010,79
10,2015-11-02,CSB0.04,220,IS40640,49
11,2015-11-02,CSB0.04,220,IS40640,49
12,2015-11-02,CSB0.04,220,COMP20020,98
13,2015-11-02,CSB0.04,220,Booked by School of CS (no other data available),
14,2015-11-02,CSB0.04,220,SCI30060,66
15,2015-11-02,CSB0.04,220,COMP41110,19
16,2015-11-02,CSB0.04,220,Vacant,Vacant
17,2015-11-02,CSB0.04,220,Vacant,Vacant
9,2015-11-03,CSB0.04,220,COMP41450 & COMP30120,143.0
10,2015-11-03,CSB0.04,220,COMP10130,112.0
11,2015-11-03,CSB0.04,220,COMP20070,107.0
12,2015-11-03,CSB0.04,220,COMP30080,139.0
13,2015-11-03,CSB0.04,220,COMP20110,103.0
14,2015-11-03,CSB0.04,220,STAT40150,0.0
15,2015-11-03,CSB0.04,220,COMP20010,108.0
16,2015-11-03,CSB0.04,220,Vacant,Vacant
17,2015-11-03,CSB0.04,220,Vacant,Vacant
9,2015-11-04,CSB0.04,220,COMP30010,79.0
10,2015-11-04,CSB0.04,220,Vacant,Vacant
11,2015-11-04,CSB0.04,220,COMP20020,98.0
12,2015-11-04,CSB0.04,220,COMP20130,74.0
13,2015-11-04,CSB0.04,220,Vacant,Vacant
14,2015-11-04,CSB0.04,220,Vacant,Vacant
15,2015-11-04,CSB0.04,220,COMP30070,84.0
16,2015-11-04,CSB0.04,220,Vacant,Vacant
17,2015-11-04,CSB0.04,220,Vacant,Vacant
9,2015-11-05,CSB0.04,220,COMP41450 & COMP30120,143.0
10,2015-11-05,CSB0.04,220,MATH10130,56.0
11,2015-11-05,CSB0.04,220,COMP30080,139.0
12,2015-11-05,CSB0.04,220,COMP20070,107.0
13,2015-11-05,CSB0.04,220,COMP10110,113.0
14,2015-11-05,CSB0.04,220,ENVB30110,83.0
15,2015-11-05,CSB0.04,220,Vacant,Vacant
16,2015-11-05,CSB0.04,220,COMP20010,108.0
17,2015-11-05,CSB0.04,220,Vacant,Vacant
9,2015-11-06,CSB0.04,220,Vacant,Vacant
