Room_Capacity,Module,Registered_Students,Hour,Date,Room,Occupancy,Avg_Count_60min,Avg_Count_30min,Avg_Adj_Count_60min,Avg_Adj_Count_30min
90,Vacant,-1.0,9,2015-11-03,B002,0.0,4.75,2.0,0.05277777777777778,0.022222222222222223
90,COMP30110,45.0,10,2015-11-03,B002,0.5,29.272727272727273,29.0,0.32525252525252524,0.3222222222222222
90,COMP30260,18.0,11,2015-11-03,B002,0.5,28.727272727272727,27.25,0.3191919191919192,0.30277777777777776
90,COMP40370,27.0,12,2015-11-03,B002,0.5,14.166666666666666,10.0,0.1574074074074074,0.11111111111111109
90,Vacant,-1.0,13,2015-11-03,B002,0.0,14.25,13.333333333333334,0.15833333333333333,0.14814814814814814
90,COMP30240,42.0,14,2015-11-03,B002,0.75,46.36363636363637,48.0,0.5151515151515151,0.5333333333333333
90,COMP30240,42.0,15,2015-11-03,B002,0.25,40.27272727272727,35.8,0.4474747474747474,0.3977777777777778
90,COMP40370,27.0,16,2015-11-03,B002,0.25,36.416666666666664,39.6,0.4046296296296296,0.43999999999999995
90,COMP30190,29.0,9,2015-11-04,B002,0.25,13.454545454545455,14.0,0.14949494949494946,0.15555555555555553
90,COMP40660,53.0,10,2015-11-04,B002,0.25,14.416666666666666,14.166666666666666,0.16018518518518518,0.1574074074074074
90,COMP30250,22.0,11,2015-11-04,B002,0.25,8.363636363636363,8.0,0.09292929292929292,0.08888888888888889
90,COMP41690 (Practical),60.0,12,2015-11-04,B002,0.5,33.18181818181818,36.25,0.3686868686868687,0.4027777777777778
90,COMP41690 (Lecture),60.0,13,2015-11-04,B002,0.0,25.083333333333332,22.333333333333332,0.27870370370370373,0.24814814814814815
90,COMP30220,38.0,14,2015-11-04,B002,0.25,23.0,24.166666666666668,0.25555555555555554,0.2685185185185185
90,COMP30520 & COMP41110,79.0,15,2015-11-04,B002,0.0,5.545454545454546,5.166666666666667,0.06161616161616162,0.05740740740740741
