Associated_count,Time,ID,Room_Capacity,Module,Registered_Students,Hour,Date,Room,Occupancy
2,09:02:20,92015-11-03B002,90,Vacant,-1.0,9,2015-11-03,B002,0.0
1,09:07:24,92015-11-03B002,90,Vacant,-1.0,9,2015-11-03,B002,0.0
0,09:12:01,92015-11-03B002,90,Vacant,-1.0,9,2015-11-03,B002,0.0
0,09:16:53,92015-11-03B002,90,Vacant,-1.0,9,2015-11-03,B002,0.0
1,09:21:55,92015-11-03B002,90,Vacant,-1.0,9,2015-11-03,B002,0.0
2,09:27:00,92015-11-03B002,90,Vacant,-1.0,9,2015-11-03,B002,0.0
1,09:32:07,92015-11-03B002,90,Vacant,-1.0,9,2015-11-03,B002,0.0
4,09:37:18,92015-11-03B002,90,Vacant,-1.0,9,2015-11-03,B002,0.0
4,09:42:20,92015-11-03B002,90,Vacant,-1.0,9,2015-11-03,B002,0.0
3,09:47:30,92015-11-03B002,90,Vacant,-1.0,9,2015-11-03,B002,0.0
18,09:52:47,92015-11-03B002,90,Vacant,-1.0,9,2015-11-03,B002,0.0
21,09:58:34,92015-11-03B002,90,Vacant,-1.0,9,2015-11-03,B002,0.0
28,10:03:51,102015-11-03B002,90,COMP30110,45.0,10,2015-11-03,B002,0.5
29,10:08:42,102015-11-03B002,90,COMP30110,45.0,10,2015-11-03,B002,0.5
29,10:13:08,102015-11-03B002,90,COMP30110,45.0,10,2015-11-03,B002,0.5
30,10:18:06,102015-11-03B002,90,COMP30110,45.0,10,2015-11-03,B002,0.5
30,10:23:02,102015-11-03B002,90,COMP30110,45.0,10,2015-11-03,B002,0.5
31,10:28:09,102015-11-03B002,90,COMP30110,45.0,10,2015-11-03,B002,0.5
29,10:33:16,102015-11-03B002,90,COMP30110,45.0,10,2015-11-03,B002,0.5
28,10:38:22,102015-11-03B002,90,COMP30110,45.0,10,2015-11-03,B002,0.5
26,10:43:31,102015-11-03B002,90,COMP30110,45.0,10,2015-11-03,B002,0.5
30,10:48:43,102015-11-03B002,90,COMP30110,45.0,10,2015-11-03,B002,0.5
32,10:54:35,102015-11-03B002,90,COMP30110,45.0,10,2015-11-03,B002,0.5
23,11:00:16,112015-11-03B002,90,COMP30260,18.0,11,2015-11-03,B002,0.5
26,11:05:25,112015-11-03B002,90,COMP30260,18.0,11,2015-11-03,B002,0.5
34,11:10:09,112015-11-03B002,90,COMP30260,18.0,11,2015-11-03,B002,0.5
29,11:14:50,112015-11-03B002,90,COMP30260,18.0,11,2015-11-03,B002,0.5
27,11:19:48,112015-11-03B002,90,COMP30260,18.0,11,2015-11-03,B002,0.5
27,11:24:51,112015-11-03B002,90,COMP30260,18.0,11,2015-11-03,B002,0.5
28,11:33:13,112015-11-03B002,90,COMP30260,18.0,11,2015-11-03,B002,0.5
27,11:40:38,112015-11-03B002,90,COMP30260,18.0,11,2015-11-03,B002,0.5
27,11:45:06,112015-11-03B002,90,COMP30260,18.0,11,2015-11-03,B002,0.5
36,11:50:25,112015-11-03B002,90,COMP30260,18.0,11,2015-11-03,B002,0.5
32,11:56:07,112015-11-03B002,90,COMP30260,18.0,11,2015-11-03,B002,0.5
31,12:01:23,122015-11-03B002,90,COMP40370,27.0,12,2015-11-03,B002,0.5
20,12:06:30,122015-11-03B002,90,COMP40370,27.0,12,2015-11-03,B002,0.5
21,12:11:07,122015-11-03B002,90,COMP40370,27.0,12,2015-11-03,B002,0.5
21,12:15:55,122015-11-03B002,90,COMP40370,27.0,12,2015-11-03,B002,0.5
20,12:20:57,122015-11-03B002,90,COMP40370,27.0,12,2015-11-03,B002,0.5
12,12:25:58,122015-11-03B002,90,COMP40370,27.0,12,2015-11-03,B002,0.5
7,12:31:02,122015-11-03B002,90,COMP40370,27.0,12,2015-11-03,B002,0.5
6,12:36:12,122015-11-03B002,90,COMP40370,27.0,12,2015-11-03,B002,0.5
