Hour,Date,Room,Occupancy,ID
9,2015-11-02,B002,0.25,92015-11-02B002
10,2015-11-02,B002,0.5,102015-11-02B002
11,2015-11-02,B002,0.25,112015-11-02B002
12,2015-11-02,B002,0.25,122015-11-02B002
13,2015-11-02,B002,0.5,132015-11-02B002
14,2015-11-02,B002,0.25,142015-11-02B002
15,2015-11-02,B002,0.0,152015-11-02B002
16,2015-11-02,B002,0.75,162015-11-02B002
9,2015-11-03,B002,0.0,92015-11-03B002
10,2015-11-03,B002,0.5,102015-11-03B002
11,2015-11-03,B002,0.5,112015-11-03B002
12,2015-11-03,B002,0.5,122015-11-03B002
13,2015-11-03,B002,0.0,132015-11-03B002
14,2015-11-03,B002,0.75,142015-11-03B002
15,2015-11-03,B002,0.25,152015-11-03B002
16,2015-11-03,B002,0.25,162015-11-03B002
9,2015-11-04,B002,0.25,92015-11-04B002
10,2015-11-04,B002,0.25,102015-11-04B002
11,2015-11-04,B002,0.25,112015-11-04B002
12,2015-11-04,B002,0.5,122015-11-04B002
13,2015-11-04,B002,0.0,132015-11-04B002
14,2015-11-04,B002,0.25,142015-11-04B002
15,2015-11-04,B002,0.0,152015-11-04B002
16,2015-11-04,B002,0.25,162015-11-04B002
9,2015-11-05,B002,0.0,92015-11-05B002
10,2015-11-05,B002,0.5,102015-11-05B002
11,2015-11-05,B002,0.25,112015-11-05B002
12,2015-11-05,B002,0.25,122015-11-05B002
13,2015-11-05,B002,0.25,132015-11-05B002
14,2015-11-05,B002,0.25,142015-11-05B002
15,2015-11-05,B002,0.5,152015-11-05B002
16,2015-11-05,B002,0.0,162015-11-05B002
9,2015-11-06,B002,0.0,92015-11-06B002
10,2015-11-06,B002,0.0,102015-11-06B002
11,2015-11-06,B002,0.25,112015-11-06B002
12,2015-11-06,B002,0.25,122015-11-06B002
13,2015-11-06,B002,0.25,132015-11-06B002
14,2015-11-06,B002,0.25,142015-11-06B002
15,2015-11-06,B002,0.5,152015-11-06B002
16,2015-11-06,B002,0.5,162015-11-06B002
9,2015-11-09,B002,0.25,92015-11-09B002
10,2015-11-09,B002,0.25,102015-11-09B002
11,2015-11-09,B002,0.0,112015-11-09B002
12,2015-11-09,B002,0.25,122015-11-09B002
13,2015-11-09,B002,0.25,132015-11-09B002
14,2015-11-09,B002,0.25,142015-11-09B002
15,2015-11-09,B002,0.25,152015-11-09B002
16,2015-11-09,B002,0.25,162015-11-09B002
9,2015-11-10,B002,0.0,92015-11-10B002
10,2015-11-10,B002,0.0,102015-11-10B002
11,2015-11-10,B002,0.25,112015-11-10B002
12,2015-11-10,B002,0.25,122015-11-10B002
13,2015-11-10,B002,0.25,132015-11-10B002
14,2015-11-10,B002,0.5,142015-11-10B002
15,2015-11-10,B002,0.5,152015-11-10B002
16,2015-11-10,B002,0.25,162015-11-10B002
9,2015-11-11,B002,0.25,92015-11-11B002
10,2015-11-11,B002,0.0,102015-11-11B002
11,2015-11-11,B002,0.25,112015-11-11B002
12,2015-11-11,B002,0.25,122015-11-11B002
13,2015-11-11,B002,0.25,132015-11-11B002
14,2015-11-11,B002,0.0,142015-11-11B002
15,2015-11-11,B002,0.25,152015-11-11B002
16,2015-11-11,B002,0.25,162015-11-11B002
9,2015-11-12,B002,0.0,92015-11-12B002
10,2015-11-12,B002,0.25,102015-11-12B002
11,2015-11-12,B002,0.25,112015-11-12B002
12,2015-11-12,B002,0.25,122015-11-12B002
13,2015-11-12,B002,0.0,132015-11-12B002
14,2015-11-12,B002,0.5,142015-11-12B002
15,2015-11-12,B002,0.25,152015-11-12B002
16,2015-11-12,B002,0.25,162015-11-12B002
9,2015-11-13,B002,0.0,92015-11-13B002
10,2015-11-13,B002,0.0,102015-11-13B002
11,2015-11-13,B002,0.0,112015-11-13B002
12,2015-11-13,B002,0.0,122015-11-13B002
13,2015-11-13,B002,0.0,132015-11-13B002
14,2015-11-13,B002,0.25,142015-11-13B002
15,2015-11-13,B002,0.25,152015-11-13B002
16,2015-11-13,B002,0.25,162015-11-13B002
9,2015-11-02,B003,0.25,92015-11-02B003
10,2015-11-02,B003,0.5,102015-11-02B003
11,2015-11-02,B003,0.5,112015-11-02B003
12,2015-11-02,B003,0.5,122015-11-02B003
13,2015-11-02,B003,0.25,132015-11-02B003
14,2015-11-02,B003,0.5,142015-11-02B003
15,2015-11-02,B003,0.25,152015-11-02B003
16,2015-11-02,B003,0.25,162015-11-02B003
9,2015-11-03,B003,0.0,92015-11-03B003
10,2015-11-03,B003,0.75,102015-11-03B003
11,2015-11-03,B003,0.75,112015-11-03B003
12,2015-11-03,B003,0.25,122015-11-03B003
13,2015-11-03,B003,0.0,132015-11-03B003
14,2015-11-03,B003,0.5,142015-11-03B003
15,2015-11-03,B003,0.25,152015-11-03B003
16,2015-11-03,B003,0.0,162015-11-03B003
9,2015-11-04,B003,0.0,92015-11-04B003
10,2015-11-04,B003,0.25,102015-11-04B003
11,2015-11-04,B003,0.0,112015-11-04B003
12,2015-11-04,B003,0.75,122015-11-04B003
13,2015-11-04,B003,0.75,132015-11-04B003
14,2015-11-04,B003,0.0,142015-11-04B003
15,2015-11-04,B003,0.0,152015-11-04B003
16,2015-11-04,B003,0.0,162015-11-04B003
9,2015-11-05,B003,0.0,92015-11-05B003
10,2015-11-05,B003,0.25,102015-11-05B003
11,2015-11-05,B003,0.25,112015-11-05B003
