Hour,Date,Room,Room_Capacity,Module,Registered_Students,ID
9,2015-11-02,B002,90,COMP30190,29,92015-11-02B002
10,2015-11-02,B002,90,COMP40660,53,102015-11-02B002
11,2015-11-02,B002,90,Vacant,Vacant,112015-11-02B002
12,2015-11-02,B002,90,COMP30250,22,122015-11-02B002
13,2015-11-02,B002,90,COMP41690,60,132015-11-02B002
14,2015-11-02,B002,90,COMP30260,18,142015-11-02B002
15,2015-11-02,B002,90,Vacant,Vacant,152015-11-02B002
16,2015-11-02,B002,90,COMP40660,53,162015-11-02B002
17,2015-11-02,B002,90,COMP40660,53,172015-11-02B002
9,2015-11-03,B002,90,Vacant,Vacant,92015-11-03B002
10,2015-11-03,B002,90,COMP30110,45.0,102015-11-03B002
11,2015-11-03,B002,90,COMP30260,18.0,112015-11-03B002
12,2015-11-03,B002,90,COMP40370,27.0,122015-11-03B002
13,2015-11-03,B002,90,Vacant,Vacant,132015-11-03B002
14,2015-11-03,B002,90,COMP30240,42.0,142015-11-03B002
15,2015-11-03,B002,90,COMP30240,42.0,152015-11-03B002
16,2015-11-03,B002,90,COMP40370,27.0,162015-11-03B002
17,2015-11-03,B002,90,COMP40370,27.0,172015-11-03B002
9,2015-11-04,B002,90,COMP30190,29.0,92015-11-04B002
10,2015-11-04,B002,90,COMP40660,53.0,102015-11-04B002
11,2015-11-04,B002,90,COMP30250,22.0,112015-11-04B002
12,2015-11-04,B002,90,COMP41690 (Practical),60.0,122015-11-04B002
13,2015-11-04,B002,90,COMP41690 (Lecture),60.0,132015-11-04B002
14,2015-11-04,B002,90,COMP30220,38.0,142015-11-04B002
15,2015-11-04,B002,90,COMP30520 & COMP41110,79.0,152015-11-04B002
16,2015-11-04,B002,90,COMP30250,22.0,162015-11-04B002
17,2015-11-04,B002,90,COMP30250,22.0,172015-11-04B002
9,2015-11-05,B002,90,Vacant,Vacant,92015-11-05B002
10,2015-11-05,B002,90,COMP30110,45.0,102015-11-05B002
11,2015-11-05,B002,90,COMP40370,27.0,112015-11-05B002
12,2015-11-05,B002,90,COMP30260,18.0,122015-11-05B002
13,2015-11-05,B002,90,COMP47290,0.0,132015-11-05B002
14,2015-11-05,B002,90,COMP30240,42.0,142015-11-05B002
